ts,uid,synth_src_ip,src_port,synth_dest_ip,dest_port,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,orig_mac,resp_mac,prefix_src,prefix_dest
1696676723.902507,CrOwKi4m4j7TduMCEi,169.228.0.0,57550,127.0.0.200,53,udp,dns,0.001413,43,214,SF,T,T,0,Dd,1,71,2,270,(empty),-,-,UCSD - 169,Loopback
1696677766.879887,CiR0D53r6d7EpKJC17,132.239.0.200,61250,172.16.1.244,7000,tcp,-,2.003713,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 132,Private network range - 172
1696677673.769887,CJmsBd12kiY9BRnSi8,127.0.1.244,60872,192.168.1.244,53,udp,dns,0.000224,34,172,SF,T,T,0,Dd,1,62,2,228,(empty),-,-,Loopback,Private network range - 192
1696677193.180103,CF3ugp1tyx18akKCE8,100.64.0.200,50466,192.168.1.244,7000,tcp,-,4.110951,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,CGNAT,Private network range - 192
1696677970.952672,CwdeEK3IQhUNPi8Nwh,0.0.1.244,51127,192.135.238.10,53,tcp,dns,0.005200,36,86,SF,T,T,0,ShADadFf,6,288,10,596,(empty),-,-,This network,Marine Physical Lab - ..238
1696677960.665943,C3c5kx4CMDxFjIYHTf,127.0.1.244,62420,137.110.1.244,7000,tcp,-,4.091286,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Loopback,UCSD - 137
1696677644.636307,CAYIih21eXeyXJeMk5,132.239.0.50,57796,137.110.0.0,7000,tcp,-,2.024419,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 132,UCSD - 137
1696678022.965349,Cy1pfU2hKqEjhwsbB,10.0.1.244,50716,0.0.0.200,7000,tcp,-,0.000003,0,0,S0,T,T,0,S,2,128,0,0,(empty),-,-,Private network range,This network
1696677855.668832,CvdIj44fLtTPQnIbn,10.0.0.200,63382,10.0.0.0,7000,tcp,-,4.059072,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range,Private network range
1696676737.363871,CfQ7X74etpu30bhDwe,172.16.1.244,57476,10.0.0.0,7000,tcp,-,2.005747,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 172,Private network range
1696676956.77634,Ci33KC3A63jcONobSk,172.16.0.200,49855,128.54.0.0,80,tcp,-,-,-,-,S0,T,F,0,S,1,52,0,0,(empty),-,-,Private network range - 172,UCSD - 128
1696677156.379986,CBthN51k2l2EN8WaG7,137.110.0.0,52493,10.0.0.0,53,udp,dns,0.000115,38,180,SF,T,T,0,Dd,1,66,2,236,(empty),-,-,UCSD - 137,Private network range
1696676484.243157,CFUv5b3g9M1OVKcYS,169.228.1.244,51524,169.228.0.0,9100,tcp,-,-,-,-,S0,T,T,0,S,1,52,0,0,(empty),-,-,UCSD - 169,UCSD - 169
1696677907.37316,CUDVyC4ZhJ5tfCqAZ1,128.54.0.0,65018,192.135.238.3,7000,tcp,-,2.011098,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,Marine Physical Lab - ..238
1696677558.578649,CMl1M634z3F9CMGywg,172.16.0.0,54022,192.168.0.50,7000,tcp,-,4.058353,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range - 172,Private network range - 192
1696678170.691696,CiojSZ1VPlkKRg0gIg,0.0.0.0,65396,192.168.1.244,7000,tcp,-,4.075987,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,This network,Private network range - 192
1696676945.890834,CLJ9wj4yb5WsBLSI2a,137.110.0.200,62508,169.228.0.200,7000,tcp,-,4.035146,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 137,UCSD - 169
1696677095.48959,CuCSxC3dhxPTvFNyT5,10.0.0.50,11,169.228.0.0,0,icmp,-,0.000003,56,0,OTH,F,T,0,-,2,112,0,0,(empty),-,-,Private network range,UCSD - 169
1696677877.837451,CrU2Hy4EySjuuS2kVi,169.228.0.0,52090,137.110.0.50,7000,tcp,-,4.073349,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 169,UCSD - 137
1696676459.510936,Cei1oa1DkhkOcMaR71,128.54.0.200,49402,172.16.0.200,7000,tcp,-,2.008030,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,Private network range - 172
1696678080.469106,CRAEqo4pVdrxglGhwh,100.64.0.0,65245,172.16.0.200,7000,tcp,-,4.221487,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,CGNAT,Private network range - 172
1696676425.710412,CkQlp133G5TR1X3ns9,192.135.238.8,58451,172.16.0.200,7000,tcp,-,2.003389,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..238,Private network range - 172
1696676435.153208,CgwQUQ3FjAeJRLj1j9,137.110.0.0,9030,172.16.0.0,9048,tcp,-,0.315576,0,0,REJ,T,F,0,Sr,1,52,2,80,(empty),-,-,UCSD - 137,Private network range - 172
1696677613.199835,Cv0JeE1NJBa88OAGL6,192.168.0.50,59120,192.135.237.4,53,udp,dns,0.000580,38,180,SF,T,T,0,Dd,1,66,2,236,(empty),-,-,Private network range - 192,Marine Physical Lab - ..237
